id_parlamentar,casa,nome_eleitoral,partido,UF,tem twitter?,twitter,twitter2 (se houver),facebook (não conferido),nome_civil,fazendo
204554,câmara,ABÍLIO SANTANA,PR,BA,sim,AbilioSantana_,NA,https://www.facebook.com/pastorabiliosantana/,JOSE ABILIO SILVA DE SANTANA,feito
204521,câmara,ABOU ANNI,PSL,SP,sim,abouannipv,NA,NA,PAULO SERGIO ABOU ANNI,feito
204379,câmara,ACÁCIO FAVACHO,PROS,AP,sim,FavachoAcacio,AcacioFavacho,NA,ACÁCIO DA SILVA FAVACHO NETO,feito
204560,câmara,ADOLFO VIANA,PSDB,BA,sim,AdolfoViana_,NA,NA,ADOLFO VIANA DE CASTRO NETO,feito
204528,câmara,ADRIANA VENTURA,NOVO,SP,sim,adrianasounovo,NA,NA,ADRIANA MIGUEL VENTURA,feito
121948,câmara,ADRIANO DO BALDY,PP,GO,sim,AdrianoBaldy,NA,NA,ADRIANO ANTÔNIO AVELAR,feito
74646,câmara,AÉCIO NEVES,PSDB,MG,sim,AecioNeves,NA,NA,AÉCIO NEVES DA CUNHA,feito
160508,câmara,AFONSO FLORENCE,PT,BA,sim,AfonsoFlorence‏,NA,https://www.facebook.com/afonsoflorence13,AFONSO BANDEIRA FLORENCE,feito
136811,câmara,AFONSO HAMM,PP,RS,sim,depafonsohamm,NA,https://www.facebook.com/depafonsohamm,JOSÉ ALFONSO EBERT HAMM,feito
178835,câmara,AFONSO MOTTA,PDT,RS,sim,afonso_motta,NA,https://www.facebook.com/AfonsoMottaOpina,AFONSO ANTUNES DA MOTTA,feito
160527,câmara,AGUINALDO RIBEIRO,PP,PB,sim,aguinaldo1111,depaguinaldo11,https://www.facebook.com/Aguinaldo-Ribeiro-139579162731192,AGUINALDO VELLOSO BORGES RIBEIRO,feito
204495,câmara,AIRTON FALEIRO,PT,PA,sim,FALEIRO13,FaleiroAirton,NA,AIRTON LUIZ FALEIRO,feito
204549,câmara,AJ ALBUQUERQUE,PP,CE,não,NA,NA,https://www.facebook.com/antonijose.11,ANTONIO JOSE AGUIAR ALBUQUERQUE,italo
178836,câmara,ALAN RICK,DEM,AC,sim,Alan_Rick,NA,https://www.facebook.com/deputadoalanrick,ALAN RICK MIRANDA,feito
160559,câmara,ALCEU MOREIRA,MDB,RS,sim,Alceu_Moreira,NA,https://www.facebook.com/depalceumoreira,ALCEU MOREIRA DA SILVA,feito
204413,câmara,ALCIDES RODRIGUES,PRP,GO,não,NA,NA,NA,ALCIDES RODRIGUES FILHO,nazareno
204545,câmara,ALÊ SILVA,PSL,MG,sim,oficialalesilva,NA,NA,ALESSANDRA DA SILVA,feito
204501,câmara,ALENCAR SANTANA BRAGA,PT,SP,sim,AlencarBraga13,NA,NA,ALENCAR SANTANA BRAGA,nazareno
160511,câmara,ALESSANDRO MOLON,PSB,RJ,sim,AlessandroMolon,NA,https://www.facebook.com/MolonRJ,ALESSANDRO LUCCIOLA MOLON,feito
178972,câmara,ALEX MANENTE,PPS,SP,sim,alexmanentepps,NA,https://www.facebook.com/alexmanentesbc,ALEX SPINELLI MANENTE,feito
204571,câmara,ALEX SANTANA,PDT,BA,não,NA,NA,https://www.facebook.com/depalexsantana/,ALEX MARCO SANTANA SOUSA,feito
204544,câmara,ALEXANDRE FROTA,PSL,SP,sim,alefrotabrasil,NA,NA,ALEXANDRE FROTA DE ANDRADE,feito
160545,câmara,ALEXANDRE LEITE,DEM,SP,sim,lexandreleite,NA,https://www.facebook.com/DeputadoFederalAlexandreLeite,ALEXANDRE LEITE DA SILVA,feito
204503,câmara,ALEXANDRE PADILHA,PT,SP,sim,padilhando,NA,NA,ALEXANDRE ROCHA SANTOS PADILHA,feito
178833,câmara,ALEXANDRE SERFIOTIS,PSD,RJ,sim,AleSerfiotis,NA,https://www.facebook.com/alexandreserfiotis,ALEXANDRE AUGUSTUS SERFIOTIS,feito
204516,câmara,ALEXIS FONTEYNE,NOVO,SP,sim,AlexisFonteyne,NA,NA,ALEXIS JOSEPH STEVERLYNCK FONTEYNE,feito
74057,câmara,ALICE PORTUGAL,PCdoB,BA,sim,Alice_Portugal,NA,https://www.facebook.com/deputadaaliceportugal,ALICE MAZZUCO PORTUGAL,feito
178927,câmara,ALIEL MACHADO,PSB,PR,sim,alielmachado,NA,https://www.facebook.com/Alielmachadooficial,ALIEL MACHADO BARK,feito
204353,câmara,ALINE GURGEL,PRB,AP,sim,alinegurgel1000,NA,NA,ALINE PARANHOS VARONIL GURGEL,feito
204400,câmara,ALINE SLEUTJES,PSL,PR,não,NA,NA,https://www.facebook.com/alinesleutjes/,ALINE SLEUTJES,feito
178937,câmara,ALTINEU CÔRTES,PR,RJ,sim,Altineu,NA,https://www.facebook.com/altineu,ALTINEU CÔRTES FREITAS COUTINHO,nazareno
178881,câmara,ALUISIO MENDES,PODE,MA,sim,AluisioMendesMA,NA,https://www.facebook.com/AluisioMendesOficial,ALUISIO GUIMARAES MENDES FILHO,nazareno
178881,câmara,ALUISIO MENDES,PODE,MA,sim,AluisioMendesMA,NA,https://www.facebook.com/AluisioMendesOficial,ALUISIO GUIMARAES MENDES FILHO,nazareno
204356,câmara,AMARO NETO,PRB,ES,sim,amaronetotv,NA,NA,AMARO ROCHA NASCIMENTO NETO,feito
178831,câmara,ANDRÉ ABDON,PP,AP,sim,dep_andreabdon‏,NA,https://www.facebook.com/depandreabdon,ANDRE DOS SANTOS ABDON,feito
74471,câmara,ANDRÉ DE PAULA,PSD,PE,não,NA,NA,https://www.facebook.com/andredepaulaoficial,ANDRÉ CARLOS ALVES DE PAULA FILHO,nazareno
204423,câmara,ANDRÉ FERREIRA,PSC,PE,não,NA,NA,https://www.facebook.com/oficial.andreferreira/,ANDRÉ FERREIRA RODRIGUES,feito
133439,câmara,ANDRÉ FIGUEIREDO,PDT,CE,sim,andrepdt12,NA,https://www.facebook.com/DeputadoAndreFigueiredo,ANDRÉ PEIXOTO FIGUEIREDO LIMA,feito
178882,câmara,ANDRÉ FUFUCA,PP,MA,sim,DepAndreFufuca,NA,https://www.facebook.com/andrefufuca,ANDRE LUIZ CARVALHO RIBEIRO,nazareno
178882,câmara,ANDRÉ FUFUCA,PP,MA,sim,DepAndreFufuca,NA,https://www.facebook.com/andrefufuca,ANDRE LUIZ CARVALHO RIBEIRO,nazareno
204515,câmara,ANDRÉ JANONES,AVANTE,MG,sim,AndreJanonesAdv,AndreJanones,NA,ANDRE LUIS GASPAR JANONES,feito
73696,câmara,ANGELA AMIN,PP,SC,sim,angelaamin11,NA,NA,ANGELA REGINA HEINZEN AMIN HELOU,feito
160553,câmara,ANTONIO BRITO,PSD,BA,sim,antoniobritoba,NA,https://www.facebook.com/britoantoniobahia,ANTONIO LUIZ PARANHOS RIBEIRO LEITE DE BRITO,feito
73433,câmara,ARLINDO CHINAGLIA,PT,SP,sim,achinaglia,NA,https://www.facebook.com/depchinaglia,ARLINDO CHIGNALIA JUNIOR,feito
141391,câmara,ARNALDO JARDIM,PPS,SP,sim,ArnaldoJardim,NA,https://www.facebook.com/deputadoarnaldojardim,ARNALDO CALIL PEREIRA JARDIM,feito
204414,câmara,AROLDO MARTINS,PRB,PR,sim,aroldomartins,NA,NA,JOSE AROLDO SOUZA MARTINS,feito
160541,câmara,ARTHUR LIRA,PP,AL,sim,DEPArthurLira,ArthurLira_,https://www.facebook.com/arthurliradeputadofederal,ARTHUR CÉSAR PEREIRA DE LIRA,feito
160600,câmara,ARTHUR OLIVEIRA MAIA,DEM,BA,sim,departhurmaia,NA,https://www.facebook.com/arthur.oliveiramaia,ARTHUR DE OLIVEIRA MAIA DA SILVA,feito
159237,câmara,ASSIS CARVALHO,PT,PI,sim,assis_carvalho,NA,https://www.facebook.com/assiscarvalho.pt,FRANCISCO DE ASSIS CARVALHO GONÇALVES,feito
74090,câmara,ÁTILA LINS,PP,AM,não,NA,NA,https://www.facebook.com/Deputado-%C3%81tila-Lins-329607960409077,ÁTILA SIDNEY LINS ALBUQUERQUE,nazareno
74459,câmara,ÁTILA LIRA,PSB,PI,sim,deputadoatila,NA,https://www.facebook.com/atilafreitaslira,ÁTILA FREITAS LIRA,nazareno
74459,câmara,ÁTILA LIRA,PSB,PI,sim,deputadoatila,NA,https://www.facebook.com/atilafreitaslira,ÁTILA FREITAS LIRA,nazareno
160665,câmara,AUGUSTO COUTINHO,SOLIDARIEDADE,PE,sim,augustocmelo ‏,NA,https://www.facebook.com/augusto.coutinho,AUGUSTO RODRIGUES COUTINHO DE MELO,nazareno
160665,câmara,AUGUSTO COUTINHO,SOLIDARIEDADE,PE,sim,augustocmelo ‏,NA,https://www.facebook.com/augusto.coutinho,AUGUSTO RODRIGUES COUTINHO DE MELO,nazareno
204509,câmara,ÁUREA CAROLINA,PSOL,MG,sim,aureacarolinax,NA,NA,ÁUREA CAROLINA DE FREITAS E SILVA,feito
160512,câmara,AUREO RIBEIRO,SOLIDARIEDADE,RJ,sim,DeputadoAureo,AureoRibeiroRJ,https://www.facebook.com/aureodeputado,AUREO LIDIO MOREIRA RIBEIRO,feito
69871,câmara,BACELAR,PODE,BA,sim,DeputadoBacelar,NA,https://www.facebook.com/bacelaroficial,JOAO CARLOS BACELAR BATISTA,feito
178975,câmara,BALEIA ROSSI,MDB,SP,sim,baleia_rossi,NA,https://www.facebook.com/BaleiaRossi,LUIZ FELIPE BALEIA TENUTO ROSSI,feito
73701,câmara,BENEDITA DA SILVA,PT,RJ,sim,dasilvabenedita ‏,depbenedita,https://www.facebook.com/blogdabenedita,BENEDITA SOUZA DA SILVA SAMPAIO,nazareno
73701,câmara,BENEDITA DA SILVA,PT,RJ,sim,dasilvabenedita ‏,depbenedita,https://www.facebook.com/blogdabenedita,BENEDITA SOUZA DA SILVA SAMPAIO,nazareno
109429,câmara,BENES LEOCÁDIO,PRB,RN,não,NA,NA,https://www.facebook.com/BenesLeocadioRN/,LUIZ BENES LEOCADIO DE ARAUJO,jair
141335,câmara,BETO FARO,PT,PA,sim,BetoFaroPT ‏,NA,https://www.facebook.com/beto.faro.5,JOSÉ ROBERTO OLIVEIRA FARO,nazareno
141335,câmara,BETO FARO,PT,PA,sim,BetoFaroPT ‏,NA,https://www.facebook.com/beto.faro.5,JOSÉ ROBERTO OLIVEIRA FARO,nazareno
204358,câmara,BETO PEREIRA,PSDB,MS,sim,betopereirams,NA,NA,HUMBERTO REZENDE PEREIRA,feito
178948,câmara,BETO ROSADO,PP,RN,sim,betorosado,NA,https://www.facebook.com/betorosado1111,CARLOS ALBERTO DE SOUSA ROSADO SEGUNDO,feito
207176,câmara,BIA CAVASSA,PSDB,MS,sim,BiaCavassa,NA,https://www.facebook.com/BiaCavassa/,BEATRIZ ROSALIA RIBEIRO CAVASSA DE OLIVEIRA,caio
204374,câmara,BIA KICIS,PSL,DF,sim,Biakicis,NA,NA,BEATRIZ KICIS TORRENTS DE SORDI,feito
204388,câmara,BIBO NUNES,PSL,RS,sim,bibonunes1,bibonunes,NA,ALCIBIO MESQUITA BIBO NUNES,feito
141513,câmara,BILAC PINTO,DEM,MG,sim,bilac_pinto,NA,https://www.facebook.com/bilac.pinto.5,OLAVO BILAC PINTO NETO,feito
204561,câmara,BIRA DO PINDARÉ,PSB,MA,sim,BiradoPindare,NA,NA,UBIRAJARA DO PINDARÉ ALMEIDA SOUSA,feito
204397,câmara,BOCA ABERTA,PROS,PR,sim,BocaAbertaOf,NA,NA,EMERSON MIGUEL PETRIV,nazareno
160538,câmara,BOHN GASS,PT,RS,sim,BOHNGASS,NA,https://www.facebook.com/bohngass13,ELVINO JOSÉ BOHN GASS,feito
74052,câmara,BOSCO COSTA,PR,SE,sim,BoscoCosta1234,NA,NA,JOÃO BOSCO DA COSTA,feito
204551,câmara,BOSCO SARAIVA,SOLIDARIEDADE,AM,sim,boscosaraiva,NA,NA,JOÃO BOSCO GOMES SARAIVA,feito
160589,câmara,BRUNA FURLAN,PSDB,SP,sim,BrunaFurlan_,DepBrunaFurlan,https://www.facebook.com/BrunaFurlanDeputadaFederal,BRUNA DIAS FURLAN,feito
204520,câmara,CABO JUNIO AMARAL,PSL,MG,sim,cabojunioamaral,NA,NA,GERALDO JUNIO DO AMARAL,feito
93083,câmara,CACÁ LEÃO,PP,BA,sim,CacaLeao‏,CacaLeao,https://www.facebook.com/CacaLeaoOficial,CARLOS FELIPE VAZQUEZ DE SOUZA LEÃO,feito
178853,câmara,CAETANO,PT,BA,sim,DepCaetano‏,DepCaetano,https://www.facebook.com/luiz.caetanoBA,LUIZ CARLOS CAETANO,feito
204352,câmara,CAMILO CAPIBERIBE,PSB,AP,sim,CamiloPSB,NA,NA,CARLOS CAMILO GÓES CAPIBERIBE,feito
204572,câmara,CAPITÃO ALBERTO NETO,PRB,AM,sim,capalbertoneto,cavalcantecta_n,NA,ALBERTO BARROS CAVALCANTE NETO,feito
178829,câmara,CAPITÃO AUGUSTO,PR,SP,sim,capitao_augusto,deputadocapitao,https://www.facebook.com/capitaoaugustooficial,JOSE AUGUSTO ROSA,feito
178924,câmara,CAPITÃO FÁBIO ABREU,PR,PI,sim,depfabioabreu,NA,https://www.facebook.com/deputadofabioabreupi/,FABIO ABREU COSTA,hadrizia
204487,câmara,CAPITÃO WAGNER,PROS,CE,sim,capitao_wagner,NA,NA,WAGNER SOUSA GOMES,feito
204507,câmara,CARLA ZAMBELLI,PSL,SP,sim,CarlaZambelli17,NA,NA,CARLA ZAMBELLI SALGADO,feito
141401,câmara,CARLOS BEZERRA,MDB,MT,sim,CarlosBezerraJr,bezerra1515,https://www.facebook.com/carlosbezerrajr1,CARLOS GOMES BEZERRA,feito
204361,câmara,CARLOS CHIODINI,MDB,SC,sim,carloschiodini,NA,NA,CARLOS ALBERTO CHIODINI,feito
178962,câmara,CARLOS GOMES,PRB,RS,sim,carlosgomesdep,NA,https://www.facebook.com/deputadocarlosgomes,ANTONIO CARLOS GOMES DA SILVA,feito
178993,câmara,CARLOS HENRIQUE GAGUIM,DEM,TO,sim,carlos_gaguim,NA,https://www.facebook.com/carlos.gaguim,CARLOS HENRIQUE AMORIM,feito
204460,câmara,CARLOS JORDY,PSL,RJ,sim,carlosjordy,NA,NA,CARLOS ROBERTO COELHO DE MATTOS JÚNIOR,feito
74262,câmara,CARLOS SAMPAIO,PSDB,SP,sim,carlossampaio_,NA,https://www.facebook.com/DeputadoCarlosSampaio,CARLOS HENRIQUE FOCESI SAMPAIO,feito
204426,câmara,CARLOS VERAS,PT,PE,sim,carlosveras1314,NA,NA,JOSÉ CARLOS VERAS DOS SANTOS,feito
141398,câmara,CARLOS ZARATTINI,PT,SP,sim,CarlosZarattini,NA,https://www.facebook.com/dep.zarattini,CARLOS ALBERTO ROLIM ZARATTINI,feito
164360,câmara,CARMEN ZANOTTO,PPS,SC,sim,carmenzanotto,ImprensaZanotto,https://www.facebook.com/DeputadaCarmenZanotto,CARMEN EMÍLIA BONFÁ ZANOTTO,feito
204369,câmara,CAROLINE DE TONI,PSL,SC,sim,CarolDeToni3,NA,NA,CAROLINE RODRIGUES DE TONI,feito
204499,câmara,CÁSSIO ANDRADE,PSB,PA,sim,Cassio_4011,NA,NA,CASSIO COELHO ANDRADE,feito
204380,câmara,CELINA LEÃO,PP,DF,sim,celinaleao,NA,NA,CELINA LEAO HIZIM,feito
204370,câmara,CÉLIO MOURA,PT,TO,sim,CelioMoura13,NA,NA,CELIO ALVES DE MOURA,feito
178876,câmara,CÉLIO SILVEIRA,PSDB,GO,sim,csilveira4599 ‏,csilveira4599,https://www.facebook.com/CelioSilveiraOficial,CELIO ANTONIO DA SILVEIRA,nazareno
178876,câmara,CÉLIO SILVEIRA,PSDB,GO,sim,csilveira4599 ‏,csilveira4599,https://www.facebook.com/CelioSilveiraOficial,CELIO ANTONIO DA SILVEIRA,nazareno
204488,câmara,CÉLIO STUDART,PV,CE,sim,CelioStudart,NA,NA,CELIO STUDART BARBOSA,feito
141405,câmara,CELSO MALDANER,MDB,SC,sim,celsomaldaner,maldaner_celso,https://www.facebook.com/celso.maldaner,CELSO MALDANER,feito
73441,câmara,CELSO RUSSOMANNO,PRB,SP,sim,celsorussomanno,NA,https://www.facebook.com/celsorussomanno,CELSO UBIRAJARA RUSSOMANNO,feito
204496,câmara,CELSO SABINO,PSDB,PA,sim,celso_sabino,NA,NA,CELSO SABINO DE OLIVEIRA,feito
204504,câmara,CEZINHA DE MADUREIRA,PSD,SP,sim,Czmadureira,NA,NA,ANTONIO CEZAR CORREIA FREIRE,feito
205476,câmara,CHARLES FERNANDES,PSD,BA,sim,CharlesGbi,NA,NA,CHARLES FERNANDES SILVEIRA SANTANA,feito
204490,câmara,CHARLLES EVANGELISTA,PSL,MG,sim,charllesevg,NA,NA,CHARLLES THOMACELLI EVANGELISTA,feito
141439,câmara,CHICO D'ANGELO,PDT,RJ,sim,chico_dangelo,NA,https://www.facebook.com/chicodangelo,FRANCISCO JOSÉ D'ANGELO PINTO,feito
204476,câmara,CHIQUINHO BRAZÃO,AVANTE,RJ,sim,BrazaoChiquinho,NA,NA,JOÃO FRANCISCO INÁCIO BRAZÃO,feito
204462,câmara,CHRIS TONIETTO,PSL,RJ,sim,ChrisTonietto17,NA,NA,CHRISTINE NOGUEIRA DOS REIS TONIETTO,feito
178928,câmara,CHRISTIANE DE SOUZA YARED,PR,PR,sim,christianeyared,NA,https://www.facebook.com/ChristianeYared,CHRISTIANE DE SOUZA YARED,feito
204440,câmara,CHRISTINO AUREO,PP,RJ,sim,christinoaureo,NA,NA,CHRISTINO AUREO DA SILVA,feito
178939,câmara,CLARISSA GAROTINHO,PROS,RJ,sim,dep_clarissa,NA,NA,CLARISSA BARROS ASSED MATHEUS DE OLIVEIRA,feito
74537,câmara,CLAUDIO CAJADO,PP,BA,sim,claudio_cajado,deputadocajado,https://www.facebook.com/deputadocajado,CLÁUDIO CAJADO SAMPAIO,feito
141408,câmara,CLEBER VERDE,PRB,MA,sim,CleberVerde10 ‏,CleberVerde10,https://www.facebook.com/cleberverde.1010,CLEBER VERDE CORDEIRO MENDES,nazareno
141408,câmara,CLEBER VERDE,PRB,MA,sim,CleberVerde10 ‏,CleberVerde10,https://www.facebook.com/cleberverde.1010,CLEBER VERDE CORDEIRO MENDES,nazareno
204376,câmara,CORONEL ARMANDO,PSL,SC,não,NA,NA,https://www.facebook.com/coronel.armando/,LUIZ ARMANDO SCHROEDER REIS,jair
204378,câmara,CORONEL CHRISÓSTOMO,PSL,RO,não,NA,NA,https://www.facebook.com/chrisostomoOficial/,JOAO CHRISÓSTOMO DE MOURA,gileade
204514,câmara,CORONEL TADEU,PSL,SP,sim,CoronelTadeu,NA,NA,MARCIO TADEU ANHAIA DE LEMOS,feito
178963,câmara,COVATTI FILHO,PP,RS,sim,CovattiFilho,NA,https://www.facebook.com/covatti.filho,LUIS ANTONIO FRANCISCATTO COVATTI,feito
135054,câmara,CRISTIANO VALE,PR,PA,não,NA,NA,https://www.facebook.com/cristianovale2222/,CRISTIANO DUTRA VALE,caio
204355,câmara,DA VITORIA,PPS,ES,sim,josiasdavitoria,NA,NA,JOSIAS MARIO DA VITORIA,feito
141411,câmara,DAGOBERTO NOGUEIRA,PDT,MS,sim,dagobertopdt,NA,https://www.facebook.com/dagobertopdt,DAGOBERTO NOGUEIRA FILHO,feito
74467,câmara,DAMIÃO FELICIANO,PDT,PB,sim,drdamiao,DrDamiaoOFICIAL,https://www.facebook.com/drdamiao,DAMIÃO FELICIANO DA SILVA,feito
74060,câmara,DANIEL ALMEIDA,PCdoB,BA,sim,Daniel_PCdoB‏,Daniel_PCdoB,https://www.facebook.com/depdanielalmeida,DANIEL GOMES DE ALMEIDA,feito
178916,câmara,DANIEL COELHO,PPS,PE,sim,DanielCoelho23 ‏,DanielCoelho23,https://www.facebook.com/DanielCoelho23/,DANIEL PIRES COELHO,nazareno
178916,câmara,DANIEL COELHO,PPS,PE,sim,DanielCoelho23 ‏,DanielCoelho23,https://www.facebook.com/DanielCoelho23/,DANIEL PIRES COELHO,nazareno
204367,câmara,DANIEL FREITAS,PSL,SC,não,NA,NA,NA,DANIEL COSTA DE FREITAS,caio
204454,câmara,DANIEL SILVEIRA,PSL,RJ,sim,DanielPMERJ,NA,NA,DANIEL LUCIO DA SILVEIRA,feito
204409,câmara,DANIEL TRZECIAK,PSDB,RS,sim,TrzeciakDaniel,NA,NA,DANIEL TRZECIAK DUARTE,feito
204459,câmara,DANIELA DO WAGUINHO,MDB,RJ,sim,DanielaWaguinho,NA,NA,DANIELA MOTE DE SOUZA CARNEIRO,feito
160528,câmara,DANILO CABRAL,PSB,PE,sim,danilo4010 ‏,danilocabral__,https://www.facebook.com/danilocabral4010,DANILO JORGE DE BARROS CABRAL,nazareno
160528,câmara,DANILO CABRAL,PSB,PE,sim,danilo4010 ‏,danilocabral__,https://www.facebook.com/danilocabral4010,DANILO JORGE DE BARROS CABRAL,nazareno
160552,câmara,DANRLEI DE DEUS HINTERHOLZ,PSD,RS,sim,DanrleiFederal,NA,https://www.facebook.com/Danrlei-Hinterholz-351569478324459,DANRLEI DE DEUS HINTERHOLZ,feito
116379,câmara,DARCI DE MATOS,PSD,SC,sim,depdarcidematos,NA,NA,DARCI DE MATOS,feito
73891,câmara,DARCÍSIO PERONDI,MDB,RS,sim,darcisioperondi,NA,https://www.facebook.com/DarcisioPerondi,DARCÍSIO PAULO PERONDI,feito
205548,câmara,DAVID MIRANDA,PSOL,RJ,sim,davidmirandario,NA,NA,DAVID MICHAEL DOS SANTOS MIRANDA,feito
204511,câmara,DAVID SOARES,DEM,SP,sim,DavidLouve,NA,https://www.facebook.com/davidsoaresbr/,DAVID BEZERRA RIBEIRO SOARES,caio
204451,câmara,DELEGADO ANTÔNIO FURTADO,PSL,RJ,sim,delegadofurtado,NA,https://www.facebook.com/DelegadoAntonioFurtado/,ANTÔNIO DA LUZ FURTADO,italo
178908,câmara,DELEGADO ÉDER MAURO,PSD,PA,sim,EderMauroPA,NA,https://www.facebook.com/edermauroficial,EDER MAURO CARDOSO BARRA,feito
204512,câmara,DELEGADO MARCELO FREITAS,PSL,MG,não,NA,NA,https://web.facebook.com/delegadomarcelofreitas,MARCELO EDUARDO FREITAS,feito
204569,câmara,DELEGADO PABLO,PSL,AM,sim,DelegadoPablo_,NA,NA,PABLO OLIVA SOUZA,feito
164359,câmara,DELEGADO WALDIR,PSL,GO,sim,delegado_waldir,NA,https://www.facebook.com/delegado.waldir,WALDIR SOARES DE OLIVEIRA,feito
204542,câmara,DENIS BEZERRA,PSB,CE,sim,denisbezerra,NA,https://www.facebook.com/Drdenisbezerra/,DENIS ANDERSON DA ROCHA BEZERRA,caio
